N	61	30
N	62	67
N	63	67
N	64	67
N	65	67
N	90	0B
N	91	10
N	92	10
N	94	0B
N	97	0B
N	281	0B
N	102	0B
N	288	0B
N	94	0B
N	97	0B
N	281	0B
N	102	0B
N	288	0B
N	105	0B
N	289	0B
N	290	0B
N	106	0B
N	291	0B
N	94	0B
N	97	0B
N	281	0B
N	102	0B
N	288	0B
N	105	0B
N	289	0B
N	290	0B
N	106	0B
N	291	0B
N	181	0B
N	290	0B
N	332	0B
N	105	0B
N	289	0B
N	290	0B
N	106	0B
N	291	0B
N	94	0B
N	97	0B
N	281	0B
N	102	0B
N	288	0B
N	105	0B
N	289	0B
N	290	0B
N	106	0B
N	291	0B
N	94	0B
N	97	0B
N	281	0B
N	102	0B
N	288	0B
N	94	0B
N	97	0B
N	281	0B
N	102	0B
N	288	0B
N	105	0B
N	289	0B
N	290	0B
N	106	0B
N	291	0B
N	94	0B
N	97	0B
N	281	0B
N	102	0B
N	288	0B
N	105	0B
N	289	0B
N	290	0B
N	106	0B
N	291	0B
N	182	0B
N	289	0B
N	290	0B
N	328	0B
N	300	0B
N	338	0B
N	333	0B
N	334	0B
N	289	0B
N	290	0B
N	320	0B
N	311	0B
N	338	0B
N	309	0B
N	332	0B
N	303	0B
N	321	0B
N	105	0B
N	289	0B
N	290	0B
N	106	0B
N	291	0B
N	94	0B
N	97	0B
N	281	0B
N	102	0B
N	288	0B
N	105	0B
N	289	0B
N	290	0B
N	106	0B
N	291	0B
N	94	0B
N	97	0B
N	281	0B
N	102	0B
N	288	0B
N	94	0B
N	97	0B
N	281	0B
N	102	0B
N	288	0B
N	105	0B
N	289	0B
N	290	0B
N	106	0B
N	291	0B
N	94	0B
N	97	0B
N	281	0B
N	102	0B
N	288	0B
N	105	0B
N	289	0B
N	290	0B
N	106	0B
N	291	0B
N	184	0B
N	292	0B
N	105	0B
N	289	0B
N	290	0B
N	107	0B
N	292	0B
N	94	0B
N	97	0B
N	281	0B
N	102	0B
N	288	0B
N	105	0B
N	289	0B
N	290	0B
N	107	0B
N	292	0B
N	94	0B
N	97	0B
N	281	0B
N	102	0B
N	288	0B
N	94	0B
N	97	0B
N	281	0B
N	102	0B
N	288	0B
N	105	0B
N	289	0B
N	290	0B
N	107	0B
N	292	0B
N	94	0B
N	97	0B
N	281	0B
N	102	0B
N	288	0B
N	105	0B
N	289	0B
N	290	0B
N	107	0B
N	292	0B
N	185	0B
N	292	0B
N	105	0B
N	289	0B
N	290	0B
N	107	0B
N	292	0B
N	94	0B
N	97	0B
N	281	0B
N	102	0B
N	288	0B
N	105	0B
N	289	0B
N	290	0B
N	107	0B
N	292	0B
N	94	0B
N	97	0B
N	281	0B
N	102	0B
N	288	0B
N	94	0B
N	97	0B
N	281	0B
N	102	0B
N	288	0B
N	99	0B
N	96	0B
N	94	0B
N	97	0B
N	281	0B
N	102	0B
N	288	0B
N	99	0B
N	96	0B
N	108	0B
N	293	0B
N	294	0B
N	94	0B
N	97	0B
N	281	0B
N	102	0B
N	288	0B
N	99	0B
N	96	0B
N	108	0B
N	293	0B
N	294	0B
N	186	0B
N	2309	0B
N	315	0B
N	577	0B
N	473	0B
N	336	0B
N	2278	0B
N	2455	0B
N	516	0B
N	566	0B
N	609	0B
N	483	0B
N	727	0B
N	951	0B
N	2604	0B
N	743	0B
N	495	0B
N	1415	0B
N	859	0B
N	430	0B
N	641	0B
N	832	0B
N	347	0B
N	1357	0B
